"meetup_id";"meetup_slug";"meetup_name";"meetup_link";"country_id";"meetup_members";"meetup_date_created";"meetup_lat";"meetup_lon";"meetup_tz";"meetup_active"
"19029458";"WordPress-Meetup-Grunn";"WordPress Meetup Grunn";"https://www.meetup.com/wordpress-meetup-grunn";"nl";"594";"2015-10-15";"53.23";"6.57";"Europe/Brussels";"1"
"19034403";"Haarlem-WordPress-Meetup";"Haarlem WordPress Meetup";"https://www.meetup.com/haarlem-wordpress-meetup";"nl";"272";"2015-10-16";"52.39";"4.62";"Europe/Brussels";"1"
"19040752";"Jyvaskyla-WordPress-Meetup";"Jyväskylä WordPress Meetup";"https://www.meetup.com/jyvaskyla-wordpress-meetup";"fi";"251";"2015-10-19";"62.26";"25.75";"Europe/Helsinki";"1"
"19045704";"wordpress-cambridge";"WordPress Cambridge Meetup";"https://www.meetup.com/wordpress-cambridge";"gb";"1579";"2015-10-20";"52.21";"0.13";"Europe/London";"1"
"19081898";"wordpress-montclair-meetup";"WordPress Montclair Meetup";"https://www.meetup.com/wordpress-montclair-meetup";"us";"2127";"2015-11-02";"40.81";"-74.22";"America/New_York";"1"
"19090526";"wpsaobento";"São Bento do Sul WordPress Meetup";"https://www.meetup.com/wpsaobento";"br";"141";"2015-11-04";"-26.22";"-49.42";"America/Sao_Paulo";"1"
"19111729";"WordPress-Jordan";"WordPress Jordan";"https://www.meetup.com/wordpress-jordan";"jo";"155";"2015-11-11";"31.96";"35.95";"Asia/Amman";"1"
"19114201";"wpzaragoza";"WordPress Zaragoza";"https://www.meetup.com/wpzaragoza";"es";"1395";"2015-11-12";"41.65";"-0.89";"Europe/Madrid";"1"
"19120551";"Heraklion-WordPress-Meetup";"Heraklion WordPress Meetup";"https://www.meetup.com/heraklion-wordpress-meetup";"gr";"461";"2015-11-14";"35.33";"25.13";"Europe/Athens";"1"
"19126629";"nagpur-wordpress-meetup";"Nagpur WordPress Meetup";"https://www.meetup.com/nagpur-wordpress-meetup";"in";"1040";"2015-11-16";"21.16";"79.08";"Asia/Kolkata";"1"
"19134916";"CairoWP";"WordPress Cairo";"https://www.meetup.com/cairowp";"eg";"2214";"2015-11-18";"30.06";"31.25";"Africa/Cairo";"1"
"19133834";"Southcoast-WordPress-Meetup";"Southcoast WordPress Meetup";"https://www.meetup.com/southcoast-wordpress-meetup";"us";"219";"2015-11-18";"41.64";"-70.94";"America/New_York";"1"
"19139611";"64c9ddc6-2955-4836-8f5e-1bdd4244281e";"WordPress Meetup Poitou";"https://www.meetup.com/64c9ddc6-2955-4836-8f5e-1bdd4244281e";"fr";"126";"2015-11-20";"46.32";"-0.47";"Europe/Paris";"0"
"19173227";"wpextremadura";"Meetup de WordPress  en Caceres (Extremadura)";"https://www.meetup.com/wpextremadura";"es";"502";"2015-12-01";"39.47";"-6.38";"Europe/Madrid";"1"
"19171830";"WordPress-Majadahonda";"WordPress Majadahonda";"https://www.meetup.com/wordpress-majadahonda";"es";"255";"2015-12-01";"40.47";"-3.87";"Europe/Madrid";"1"
"19177772";"WordPress-Gijon";"WordPress Gijón";"https://www.meetup.com/wordpress-gijon";"es";"225";"2015-12-03";"43.53";"-5.67";"Europe/Madrid";"1"
"19211014";"wordpress-collado-villalba-meetup";"WordPress Collado Villalba";"https://www.meetup.com/wordpress-collado-villalba-meetup";"es";"586";"2015-12-14";"40.64";"-4";"Europe/Madrid";"1"
"19216742";"ba504852-6b86-43f1-ad0b-97ee50c0038e";"Meetup WordPress de Braga";"https://www.meetup.com/ba504852-6b86-43f1-ad0b-97ee50c0038e";"pt";"210";"2015-12-16";"41.55";"-8.43";"Europe/Lisbon";"0"
"19217622";"meetup-wordpress-floripa";"Meetup WordPress Floripa";"https://www.meetup.com/meetup-wordpress-floripa";"br";"1819";"2015-12-16";"-27.6";"-48.54";"America/Sao_Paulo";"1"
"19220445";"8b5ef40a-2f15-4635-8fad-4034b53bb2e0";"Auburn WordPress Meetup";"https://www.meetup.com/8b5ef40a-2f15-4635-8fad-4034b53bb2e0";"us";"116";"2015-12-17";"32.6";"-85.47";"America/Chicago";"0"
